#r (sol units), density (sol units)
12.757762797996056,3.7102658580726306e-08
13.359138117450591,1.66155211551132e-08
13.988861061843398,2.1290930511362505e-08
14.648267881289248,3.654775327556932e-08
15.33875781405,7.973993475460725e-09
16.06179605566937,3.921096407619433e-08
16.81891686806674,2.069388697657299e-08
17.611726835187437,3.745235058740008e-08
18.44190827211778,1.6234273314555644e-08
19.31122279489901,1.2532170639901422e-08
20.221515058615047,1.6055521865472816e-08
21.174716671686223,1.543291291815428e-08
22.172850294674948,1.1214562477289655e-08
23.218033932300834,1.1790509963152213e-08
24.312485427772817,1.0624701443938393e-08
25.45852716897506,9.937780600737732e-09
26.658591016492995,7.313550500492601e-09
27.915223463936638,4.733819147456676e-09
29.231091041511174,4.669552992806712e-09
30.608985974301003,4.618576386109062e-09
32.051832107273945,4.7098842663355374e-09
33.562691109578225,4.95207645544065e-09
35.14476897129759,3.0382067783604487e-09
36.80142280645039,3.683992151616605e-09
38.5361679766684,3.176133937769024e-09
40.35268555067149,3.6994069238082966e-09
42.25483011536705,3.95167137075294e-09
44.24663795514891,2.8058361217607e-09
46.33233561675196,2.6496780534246995e-09
48.516348877836855,2.642989662761232e-09
50.80331213833577,2.768646654935735e-09
53.19807825448735,2.98234688519015e-09
55.705728836428314,2.448309390082076e-09
58.33158503119287,2.9727338950029423e-09
61.08121881400102,2.399499985505214e-09
63.96046481179555,1.27280417825815e-09
66.97543268411687,1.3284811191079955e-09
70.13252008758725,1.0452464718597327e-09
73.43842625151508,8.90094942714058e-10
76.9001661934256,1.0003510328380823e-09
80.52508560468337,7.734223205238946e-10
84.32087643779298,7.522794600471839e-10
88.2955932284539,6.373365039391165e-10
92.45767018700415,8.221664468600466e-10
96.8159390955204,3.878105615979235e-10
101.37964804855132,3.4860234126590196e-10
106.1584810772515,3.914207005134605e-10
111.16257869855765,4.2279896528596086e-10
116.40255943301177,4.851024851921495e-10
121.88954233689117,5.315390614154862e-10
127.63517059645787,4.689614819671529e-10
133.65163623439366,4.234146338360482e-10
139.95170598084675,3.987175331665724e-10
146.5487483639877,2.910293364958123e-10
153.4567620775597,2.4898806945923214e-10
160.6904056856182,2.4790304501946605e-10
168.26502872749248,1.869892201256901e-10
176.19670428897234,1.5461244941411348e-10
184.5022631088354,1.2324675470059408e-10
193.19932929308746,1.2453868751213036e-10
202.3063577127005,1.1836286584399217e-10
211.84267316420497,1.1879782961176694e-10
221.8285113762336,1.1056189904712927e-10
232.2850619490316,8.874708128898585e-11
243.2345133180488,8.516866730786388e-11
254.70009983702582,8.802170561356279e-11
266.7061510804815,7.321563264056613e-11
279.27814347022144,7.254546549239002e-11
292.442754335416,7.127104560678689e-11
306.22791852096185,8.342010314979241e-11
320.6628876642483,8.300175658328304e-11
335.7782922661109,9.429229606503965e-11
351.6062066876855,9.169520084376142e-11
368.1802172110837,7.997579059422854e-11
385.5354933083109,6.59678024256398e-11
403.7088622696593,5.868731295434957e-11
422.7388873499326,5.009232687354309e-11
442.6659495983272,4.100789395763645e-11
463.5323335456094,3.099995460646333e-11
485.38231693041433,2.7969410714825174e-11
508.26226465506244,2.5463477416204775e-11
532.2207271702641,2.388923269197119e-11
557.3085434974823,2.1518466732271615e-11
583.5789491075619,1.898887695340907e-11
611.0876888845412,1.6431167015660455e-11
639.8931354143511,1.4479511600811269e-11
670.0564128494054,1.2051221981713747e-11
701.6415266119192,9.632279165602667e-12
734.7154992111815,7.407798689356466e-12
769.3485124629817,5.8344993044913494e-12
805.6140564129736,4.632244590551136e-12
843.5890852799874,3.6899389734352975e-12
883.3541807501978,2.9003322622112337e-12
924.9937229686494,2.2361295389569767e-12
968.596069590981,1.7164754277151068e-12
1014.253743275287,1.3374758318218941e-12
1062.0636280119709,1.0906984797207354e-12
1112.1271747081873,9.438578289396243e-13
1164.5506164631377,9.493184322862765e-13
1219.4451939909848,4.100128350250907e-13
